car_age,mileage,mileage_per_year,tax,mpg,engineSize,transmission_enc,is_luxury,brand_mean_price,model_mean_price,fuel_Diesel,fuel_Electric,fuel_Hybrid,fuel_Petrol,price,log_price,brand,model,transmission,fuelType,year
7,15735.0,1966.875,150.0,55.4,1.4,0,1,24492.3363079382,17383.63305785124,False,False,False,True,12500.0,9.433563920090563,Audi, A1,Manual,Petrol,2017
7,25952.0,3244.0,145.0,67.3,2.0,2,1,24492.3363079382,23249.352112676057,True,False,False,False,16800.0,9.729193687429403,Audi, A4,Automatic,Diesel,2017
5,1998.0,333.0,145.0,49.6,1.0,0,1,24492.3363079382,20935.26684881603,False,False,False,True,17300.0,9.758519582283522,Audi, A3,Manual,Petrol,2019
7,28955.0,3619.375,145.0,58.9,1.4,0,1,24492.3363079382,20935.26684881603,False,False,False,True,16100.0,9.686636660844938,Audi, A3,Manual,Petrol,2017
8,52198.0,5799.777777777777,125.0,57.6,2.0,2,1,24492.3363079382,25927.83469387755,True,False,False,False,16500.0,9.711176264112805,Audi, A6,Automatic,Diesel,2016
8,44915.0,4990.555555555556,145.0,52.3,2.0,0,1,24492.3363079382,23364.006928406467,True,False,False,False,17000.0,9.741027444837728,Audi, Q3,Manual,Diesel,2016
7,26156.0,3269.5,145.0,58.9,1.4,2,1,24492.3363079382,20935.26684881603,False,False,False,True,14500.0,9.581972891547895,Audi, A3,Automatic,Petrol,2017
8,28396.0,3155.1111111111113,145.0,53.3,2.0,2,1,24492.3363079382,23364.006928406467,True,False,False,False,15700.0,9.661479683575521,Audi, Q3,Automatic,Diesel,2016
8,37652.0,4183.555555555556,200.0,47.1,2.0,2,1,24492.3363079382,30960.318055555555,True,False,False,False,19000.0,9.852246888342531,Audi, Q5,Automatic,Diesel,2016
10,34110.0,3100.909090909091,145.0,47.9,1.4,0,1,24492.3363079382,23364.006928406467,False,False,False,True,17000.0,9.741027444837728,Audi, Q3,Manual,Petrol,2014
7,37100.0,4637.5,145.0,67.3,2.0,2,1,24492.3363079382,24485.966233766234,True,False,False,False,17300.0,9.758519582283522,Audi, A5,Automatic,Diesel,2017
8,23714.0,2634.8888888888887,200.0,47.1,2.0,2,1,24492.3363079382,30960.318055555555,True,False,False,False,20200.0,9.913487387114461,Audi, Q5,Automatic,Diesel,2016
7,21649.0,2706.125,145.0,58.9,3.0,2,1,24492.3363079382,24485.966233766234,True,False,False,False,22500.0,10.021315031649332,Audi, A5,Automatic,Diesel,2017
9,62748.0,6274.8,150.0,53.3,3.0,2,1,24492.3363079382,25927.83469387755,True,False,False,False,17500.0,9.770013301136158,Audi, A6,Automatic,Diesel,2015
8,23789.0,2643.222222222222,200.0,47.1,2.0,2,1,24492.3363079382,30960.318055555555,True,False,False,False,20000.0,9.90353755128617,Audi, Q5,Automatic,Diesel,2016
