feature,importance
cat__transmission_Manual,0.3347083895732279
num__year,0.21430583415301996
num__engineSize,0.16525414108571926
num__car_age,0.09100112078854389
num__mpg,0.03302858743181445
num__mileage,0.027634628442279513
num__is_luxury,0.02727309968249097
num__mileage_per_year,0.01436572345458819
cat__model_ Focus,0.006514143292360488
cat__brand_VW,0.005651076633062568
cat__model_ Corsa,0.004710865733809681
cat__brand_Vauxhall,0.004550659169339469
cat__brand_Audi,0.00435173957086099
num__tax,0.004215764035761653
cat__model_ Yaris,0.0042000988322787
cat__model_ Aygo,0.0028787121501192485
cat__brand_Ford,0.0022714715225885503
cat__model_ I10,0.002097181899639896
cat__model_ Viva,0.0019571069197144345
cat__model_ GLC Class,0.0018995013436144742
cat__model_ Up,0.0017014667944010378
cat__model_ Fiesta,0.0016827633991638488
cat__model_ Octavia,0.0015348535924604536
cat__model_ Kuga,0.0015183150742045168
cat__model_ Grandland X,0.0012827504563142655
cat__model_ Tucson,0.0012582355454002813
cat__model_ Tiguan,0.0012165787201481016
cat__model_ Kodiaq,0.0012055111999770324
cat__brand_Toyota,0.0011495968743913901
cat__model_ Ka+,0.0011356559135665117
cat__model_ Fabia,0.0011009879206689457
cat__model_ C Class,0.0010869012416775564
cat__fuelType_Diesel,0.001084163847482628
cat__fuelType_Petrol,0.0010821548669404859
cat__brand_BMW,0.0010436066785032283
cat__model_ 2 Series,0.0009391958712884054
cat__model_ Polo,0.0009028124601062184
cat__brand_Mercedes,0.0008942963126441696
cat__model_ Adam,0.0008691492116659824
cat__model_ Q3,0.0008451144611817409
cat__brand_Skoda,0.0008200590373429613
cat__model_ T-Roc,0.0007744960307479424
cat__model_ 1 Series,0.0007712888179040914
cat__model_ Q5,0.00068026303518174
cat__model_ Golf,0.0006589500965925068
cat__brand_Hyundai,0.0006551880816448358
cat__model_ T-Cross,0.000641031176825169
cat__model_ Puma,0.0006344225515075231
cat__model_ Astra,0.0005880229076634254
cat__model_ 3 Series,0.0005551346969923149
cat__model_ C-HR,0.0005466162427554044
cat__model_ Meriva,0.0004850745589221454
cat__model_ Crossland X,0.00048074969782974867
cat__model_ V Class,0.0004731345479400146
cat__transmission_Automatic,0.00047242865921443976
cat__model_ X5,0.000469989701792038
cat__transmission_Semi-Auto,0.0004679929743891806
cat__model_ GLE Class,0.0004658901520358684
cat__model_ Caravelle,0.00044814949041926516
cat__model_ X3,0.0004321785757357434
cat__model_ I20,0.0004087979707682207
cat__model_ A1,0.0003959663561782018
cat__model_ A Class,0.00038538626402538477
cat__model_ E Class,0.00037520812738093846
cat__model_ B Class,0.00036622878368818056
