feature,coefficient,abs_coefficient
cat__model_ Caravelle,0.5919290766231599,0.5919290766231599
cat__model_ Up,-0.5578926425348011,0.5578926425348011
cat__model_ KA,-0.508333333048318,0.508333333048318
cat__model_ Aygo,-0.5011201130657619,0.5011201130657619
cat__model_ Fox,-0.4943216280948482,0.4943216280948482
cat__model_ Supra,0.48771666423497256,0.48771666423497256
cat__model_ Fusion,-0.48686481641227586,0.48686481641227586
cat__model_ Land Cruiser,0.4780488878804321,0.4780488878804321
cat__model_ Vivaro,0.46938800646131434,0.46938800646131434
cat__model_ Ka+,-0.4544451146220896,0.4544451146220896
cat__model_ Citigo,-0.45287870240984035,0.45287870240984035
cat__model_ Viva,-0.45091423260485963,0.45091423260485963
cat__model_ Santa Fe,0.42585938994619077,0.42585938994619077
cat__model_ Edge,0.406917392955367,0.406917392955367
cat__model_ Agila,-0.37572419081303504,0.37572419081303504
cat__model_ Kodiaq,0.37430360523495604,0.37430360523495604
cat__model_ I10,-0.3698041174177523,0.3698041174177523
cat__model_ Yaris,-0.35162286677145693,0.35162286677145693
cat__model_ A1,-0.3250211062514253,0.3250211062514253
cat__model_ Tourneo Custom,0.31787500060665264,0.31787500060665264
cat__model_ PROACE VERSO,0.31315971719780084,0.31315971719780084
cat__model_ i3,0.3112622037837858,0.3112622037837858
cat__model_ Galaxy,0.31039351213998007,0.31039351213998007
cat__model_ Touareg,0.3030426543251941,0.3030426543251941
cat__model_ Puma,0.28466095548809606,0.28466095548809606
cat__model_ S-MAX,0.28394082428110984,0.28394082428110984
cat__model_ Grandland X,0.28126257722575304,0.28126257722575304
cat__model_ Urban Cruiser,-0.28065617331182224,0.28065617331182224
cat__model_ B-MAX,-0.2787435316618085,0.2787435316618085
cat__model_ 1 Series,-0.2778151527912795,0.2778151527912795
cat__model_ 2 Series,-0.2595003302697094,0.2595003302697094
cat__model_ Corsa,-0.25763129058551554,0.25763129058551554
cat__model_ Roomster,-0.25429321550163564,0.25429321550163564
cat__model_ B Class,-0.2542138279983939,0.2542138279983939
cat__model_ RS4,0.2532935184196504,0.2532935184196504
cat__model_ GLS Class,0.2522253173845293,0.2522253173845293
cat__model_ M Class,0.24590741242815026,0.24590741242815026
cat__model_ GLE Class,0.24244319433660746,0.24244319433660746
cat__model_ Karoq,0.2286747962616677,0.2286747962616677
cat__model_ Tiguan Allspace,0.22736125935370607,0.22736125935370607
cat__model_ Meriva,-0.22714298663728733,0.22714298663728733
cat__model_ X5,0.22254989114980878,0.22254989114980878
cat__model_ I20,-0.2223467822116208,0.2223467822116208
cat__model_ IX20,-0.22137195006931407,0.22137195006931407
cat__model_ Fabia,-0.22046380133067645,0.22046380133067645
cat__model_ Jetta,-0.21771871828887251,0.21771871828887251
cat__model_ S Class,0.21005895903199542,0.21005895903199542
cat__model_ Polo,-0.20768310176091284,0.20768310176091284
cat__model_ A3,-0.20746851524375765,0.20746851524375765
cat__model_ Adam,-0.2050145665279755,0.2050145665279755
cat__model_ Rapid,-0.20291546919345355,0.20291546919345355
cat__model_ Shuttle,0.19764273046651748,0.19764273046651748
cat__model_ Q8,0.19192101339809253,0.19192101339809253
cat__model_ A4,-0.18989876450926457,0.18989876450926457
num__is_luxury,0.1889182645575412,0.1889182645575412
cat__model_ A Class,-0.1883123015185502,0.1883123015185502
cat__model_ M3,0.18449403144664137,0.18449403144664137
cat__model_ Superb,0.18267158732994554,0.18267158732994554
cat__model_ Tucson,0.18157805998016316,0.18157805998016316
cat__model_ Tiguan,0.18121826637582272,0.18121826637582272
cat__brand_Vauxhall,-0.17986012964732132,0.17986012964732132
cat__model_ Q7,0.17713805616552164,0.17713805616552164
cat__model_ RS5,0.17406295828981325,0.17406295828981325
cat__model_ Q2,-0.16028601443013776,0.16028601443013776
cat__model_ X6,0.15922474292746472,0.15922474292746472
cat__model_ SLK,-0.15808316005926917,0.15808316005926917
cat__model_ 4 Series,-0.15772189451910384,0.15772189451910384
cat__model_ Auris,-0.15463249047999383,0.15463249047999383
cat__model_ 3 Series,-0.15205739519947412,0.15205739519947412
cat__model_ Kuga,0.14482234378897843,0.14482234378897843
cat__model_ Touran,0.13704140469934908,0.13704140469934908
cat__model_ SQ5,0.1363146242691614,0.1363146242691614
cat__model_ Combo Life,0.13524654361965838,0.13524654361965838
cat__model_ Fiesta,-0.1349147377055193,0.1349147377055193
cat__model_ Tigra,-0.1349035013830829,0.1349035013830829
cat__model_ Insignia,0.13462632892973725,0.13462632892973725
cat__brand_VW,0.13357497963024695,0.13357497963024695
